Date,Description,Amount,RawText
2025-05-01,Grocery Shopping,-85.75,Whole Foods Market #123 PURCHASE
2025-05-02,Salary Deposit,2500.00,DIRECT DEPOSIT ACME CORP PAYROLL
2025-05-03,Restaurant Dinner,-45.20,THE ITALIAN PLACE RESTAURANT NYC
2025-05-04,Gas Station,-35.50,CHEVRON GAS STATION PUMP #4
2025-05-05,Online Subscription,-9.99,SPOTIFY PREMIUM MONTHLY SUBSCRIPTION
2025-05-06,Coffee Shop,-4.50,BLUE BOTTLE COFFEE SHOP PURCHASE
2025-05-07,Utility Bill,-120.00,CITY POWER & WATER BILL PAYMENT
2025-05-08,Transfer from Savings,500.00,TRANSFER FROM ACCT *****1234
2025-05-09,Clothing Store,-65.99,GAP CLOTHING STORE PURCHASE
2025-05-10,Movie Tickets,-24.00,AMC THEATERS TICKET PURCHASE
